"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4AverageCj1","adv1Agreed","adv2Agreed",
0.61667,0.7,7.3725,0.25382,27.6333,0.53333,0.56667,
0.81667,0.8,7.1781,4.833,17.3167,0.63333,0.73333,
0.65,0.71667,5.0293,6.5458,21.65,0.56667,0.6,
0.56667,0.58333,3.9955,5.0724,13.5333,0.53333,0.6,
0.68333,0.73333,5.9551,9.5674,27.0167,0.56667,0.53333,
0.58333,0.61667,1.3429,7.1486,19.1833,0.43333,0.4,
0.63333,0.63333,1,3.0837,45.8667,0.7,0.5,
0.73333,0.75,2.8011,3.5114,39.8667,0.53333,0.6,
0.55,0.6,5.67,10.7811,16.6,0.43333,0.53333,
0.65,0.68333,0.13187,8.0293,38.8,0.56667,0.66667,
0.66667,0.75,0.725,4.2,15.0333,0.53333,0.53333,
0.53333,0.6,3.9688,11.5714,18.3667,0.6,0.46667,
0.61667,0.63333,2.7415,3.6428,11.5167,0.56667,0.66667,
0.8,0.83333,4.4583,6.1875,12.4833,0.73333,0.53333,
0.71667,0.68333,0.097127,1.7852,23.7167,0.56667,0.66667,
0.78333,0.76667,11.7365,11.0376,27.1167,0.56667,0.6,
0.68333,0.7,0.53017,7.2336,43.7833,0.8,0.76667,
0.76667,0.8,9.1398,5.1988,20.65,0.56667,0.56667,
0.63333,0.7,3.8278,7.5431,16.8333,0.53333,0.6,
0.78333,0.81667,11.3404,17.2733,27.8833,0.53333,0.5,
0.75,0.76667,5.9556,8.0444,25.1333,0.7,0.8,
0.68333,0.68333,4.9602,7.5944,29.6,0.66667,0.56667,
0.8,0.81667,10.0833,4.8542,16.3167,0.63333,0.63333,
0.66667,0.7,3.225,8.075,26.7,0.6,0.6,
0.66667,0.75,1.65,7.425,7.7,0.53333,0.66667,
0.83333,0.88333,6.02,7.14,6.8167,0.63333,0.63333,
0.56667,0.66667,0.22851,9.0452,21.2833,0.63333,0.5,
0.76667,0.8,0.35093,3.528,16.4833,0.56667,0.7,
0.56667,0.63333,0.35068,3.1742,8.9167,0.56667,0.5,
