"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4Resolution2Adv1","blk4Resolution2Adv2","blk4AverageCj1","adv1Agreed","adv2Agreed","agreedDiff","res2Diff","blk4MeanAdvisor1Sway","blk4MeanAdvisor2Sway","swayDiff","blk4AdviceSway","blk4AdviceSway1Diff","blk4AdviceSway2Diff",
0.73333,0.68333,4.0057,5.392,2.8,8.1667,13,0.63333,0.63333,0,5.3667,4,3.9667,-0.033333,4.55,-0.3,0.066667,
0.56667,0.58333,3.267,4.5928,5.4667,4.555,23.5333,0.6,0.66667,0.066667,-0.91164,1.5667,1.7667,0.2,1.8,0.033333,0,
0.78333,0.78333,1.8854,3.7643,8.5341,4.4,20.4,0.63333,0.66667,0.033333,-4.1341,2.6667,3.2667,0.6,2.9667,0.066667,0,
0.73333,0.78333,7.9886,9.6477,9.1705,10.125,11.2333,0.56667,0.56667,0,0.95455,6.1333,2.9,-3.2333,4.85,0.066667,0,
0.65,0.66667,1.63,5.4505,2.3889,8.8571,6.9167,0.63333,0.6,-0.033333,6.4683,5.7667,4.6667,-1.1,5.7167,-0.1,-0.16667,
0.63333,0.63333,0.014354,7.2536,5.1964,10.4432,17.6,0.5,0.43333,-0.066667,5.2468,5.8667,7.2667,1.4,8.0667,0.1,0.23333,
0.6,0.65,2.8611,4.5694,3.8,4.7589,13.4667,0.56667,0.5,-0.066667,0.95893,6.8,4.2,-2.6,10.5333,-0.1,-0.1,
0.71667,0.71667,2.9357,7.4295,6.25,8.6349,20.6333,0.56667,0.53333,-0.033333,2.3849,5.8,4.7667,-1.0333,5.95,0,0.16667,
0.55,0.65,5.7172,5.2896,10.0536,0.46606,18.3667,0.56667,0.53333,-0.033333,-9.5875,4.2333,4.8,0.56667,7.4167,0.6,-1.1,
0.75,0.73333,6,5.5778,2.764,7.7727,15.6333,0.53333,0.56667,0.033333,5.0088,5.1667,5.4,0.23333,7.75,0.26667,-0.23333,
0.71667,0.7,0.1409,0.76197,1.0341,0.57143,34.0167,0.63333,0.46667,-0.16667,-0.46266,5.2667,6.5333,1.2667,13.0333,-0.066667,-0.33333,
0.75,0.76667,0,0.26667,2.84,0.25,37.2667,0.6,0.5,-0.1,-2.59,0.2,5,4.8,3.5667,0,0,
